course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,School College,ACCT,203N,,,Management SM,School of Management SM,3,1
ST: CITY POLITICS,Marist Abroad,POSC,391L,,,Liberal Arts LA,School of Liberal Arts LA,3,4
FIRST YEAR SEMINAR,Lecture,FYS,101L,,,Liberal Arts LA,School of Liberal Arts LA,4,6
ORGANIZ BEHAVIOR,Lecture,BUS,302N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,3
CRIT READ+THINK,Lecture,LERN,105L,,,Liberal Arts LA,School of Liberal Arts LA,1,7
CASE STUDIES PUBL RELAT MGMT,On Line Class,COM,419L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '211L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Communication', '212L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Communication', '333L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,5
WRITING FOR COLLEGE,Lecture,ENG,120L,,,Liberal Arts LA,School of Liberal Arts LA,3,8
ST:COMP INTERNATIONAL POLITICS,Marist Abroad,POSC,392L,,,Liberal Arts LA,School of Liberal Arts LA,3,9
CLIN MICROSCOPY,Lecture,MEDT,345N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Chemistry', '131L', 'Undergraduate', 'C', ''], ['Or', '', '', '', 'Chemistry', '111L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'C', ')'], ['And', '(', '', '', 'Chemistry', '132L', 'Undergraduate', 'C', ''], ['Or', '', '', '', 'Chemistry', '112L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'C', ')'], ['And', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Medical Technology', '260N', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,1,2
MANAGERIAL ACCTNG,Lecture,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,11
STRATEGIC ADVERT CAMPAIGN DVLP,Lecture,COM,423L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '329L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Communication', '314L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,12
ADV CLINICAL MICROBIOLOGY,Lecture,MEDT,402N,,,Science SI,School of Science SI,3,13
"ST:SOCIETY, SPACE & PLACE",Marist Abroad,POSC,393L,,,Liberal Arts LA,School of Liberal Arts LA,3,14
ADV CLINICAL MICROBIO LAB,Laboratory,MEDT,403N,,,Science SI,School of Science SI,2,16
COMMUNICATIONS & LEADERSHIP,Lorenzo di Medici,BUS,305N,,,Management SM,School of Management SM,3,17
BRANDING,Lecture,COM,424L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '220L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,15
INTERN IN POL SCI,Internship,POSC,395N,,,Liberal Arts LA,School of Liberal Arts LA,3,19
