section,instructor,meeting_times,campus,seat_cap,data_id,course_id
111,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '208', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168413,1
112,"Craven, Michael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,166852,1
113,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,0,166850,1
114,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,0,168137,1
115,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,166853,1
116,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,166851,1
117,"Nash, David","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '08:00 AM', '09:15 AM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168406,1
200,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168407,1
201,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168409,1
111,"Li, Li","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168415,2
112,"Li, Li","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168402,2
113,"Freiman, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Lowell Thomas', '133', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168158,2
114,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '208', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168171,2
115,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '208', '08/28/2023', '12/15/2023')]",Marist College Campus,20,166854,2
111,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,166856,3
112,"Jin, Byunghoon","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '134', '08/28/2023', '12/15/2023')]",Marist College Campus,20,166855,3
113,"Jin, Byunghoon","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '204', '08/28/2023', '12/15/2023')]",Marist College Campus,20,168417,3
