section,instructor,meeting_times,campus,seat_cap,data_id,course_id
111,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Dyson Building', '227', '01/21/2020', '05/15/2020'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Dyson Building', '227', '01/21/2020', '05/15/2020')]",Marist College Campus,25,139278,1
112,"Warren, Joseph","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '11:00 AM', '12:15 PM', 'Lecture', 'Dyson Building', '133', '01/21/2020', '05/15/2020')]",Marist College Campus,25,139717,1
113,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Dyson Building', '133', '01/21/2020', '05/15/2020')]",Marist College Campus,25,140516,1
114,"Yan, Zhaokai","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '09:30 AM', '10:45 AM', 'Lecture', 'Dyson Building', '218', '01/21/2020', '05/15/2020')]",Marist College Campus,25,140237,1
901,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '02/03/2020', '03/13/2020')]",Marist - LDM Branch Campus,60,150441,2
115,"Yan, Zhaokai","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Dyson Building', '227', '01/21/2020', '05/15/2020')]",Marist College Campus,25,140238,1
111,"Machacek, Gregory","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Lowell Thomas', '240', '01/21/2020', '05/15/2020')]",Marist College Campus,27,138976,3
116,"Yan, Zhaokai","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Dyson Building', '227', '01/21/2020', '05/15/2020')]",Marist College Campus,25,140800,1
117,"Pantaleo, Jay","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'Dyson Building', '133', '01/21/2020', '05/15/2020'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'Dyson Building', '133', '01/21/2020', '05/15/2020')]",Marist College Campus,25,138656,1
200,"Lynch, Bryan","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '06:30 PM', '07:45 PM', 'Lecture', 'Music', '3201', '01/21/2020', '05/15/2020')]",Marist College Campus,30,138880,4
