course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,Lecture,ACCT,203N,,,Management SM,School of Management SM,3,1
BUSINESS LAW II,Lecture,BUS,381N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '380N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,2
FORMS IN WRITING,Marist Abroad,ENG,318L,,,Liberal Arts LA,School of Liberal Arts LA,1,4
MANAGERIAL ACCTNG,Lecture,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,3
TECHNOLOGY FOR 21st CENTURY,School College,CMPT,103L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,5
ED ASSESMENT + EVAL,On Line Class,EPSY,605L,,,MA Ed. Psychology BY,MA Ed. Psychology BY,3,6
ST:INTRO TO QUEER STUDIES,Lecture,HIST,192L,,,Liberal Arts LA,School of Liberal Arts LA,3,8
GUITAR ENSEMBLE,Lecture,MUS,244N,,,Communication and The Arts CO,School Communication Arts CO,1,7
WASH SEM I:CONF,Lecture,POSC,468L,,,Liberal Arts LA,School of Liberal Arts LA,4,9
LGL FOUND OF BUS,Marist Abroad,BUS,382N,,,Management SM,School of Management SM,3,10
ENG DRAMA I,Marist Abroad,ENG,320L,,,Liberal Arts LA,School of Liberal Arts LA,3,11
ST:STRUGGLE FOR RACIAL JUSTICE,Lecture,HIST,193L,,,Liberal Arts LA,School of Liberal Arts LA,1,12
PERCUSSION ENSEMBLE,Lecture,MUS,245N,,,Communication and The Arts CO,School Communication Arts CO,1,13
WASH SEM II:CONFL,Lecture,POSC,469L,,,Liberal Arts LA,School of Liberal Arts LA,4,14
LIFE SPAN DEVELOPMENT,Lecture,EPSY,620L,,,MA Ed. Psychology BY,MA Ed. Psychology BY,3,15
CHAUCER,Marist Abroad,ENG,324L,,,Liberal Arts LA,School of Liberal Arts LA,3,16
FLORENCE & THE HOUSE OF MEDICI,Marist Abroad,HIST,202L,,,Liberal Arts LA,School of Liberal Arts LA,3,17
